clusterhead_1,clusterhead_2,distance
0,3,185.149012
0,4,286.063186
0,6,402.175077
0,7,463.629106
0,8,569.263071
0,9,622.802765
0,11,127.503696
0,12,178.961389
0,14,293.903781
0,16,437.780972
0,17,469.084054
0,20,136.151463
0,21,165.659811
0,24,337.230229
0,26,417.608325
0,28,600.023355
0,29,631.579502
0,30,193.320761
0,32,276.400861
0,36,477.604118
0,38,611.446736
0,39,689.108057
0,40,286.610716
0,42,327.495323
0,43,389.110108
0,44,419.380321
0,45,489.549065
0,48,623.886610
0,49,682.831321
0,50,361.194504
0,53,434.168766
0,56,554.149685
0,57,614.907506
0,58,651.496447
0,59,748.567496
0,60,412.063607
0,61,434.908635
0,65,569.353729
0,66,596.807027
0,68,731.227547
0,69,746.911561
0,71,490.330146
0,72,515.839034
0,73,560.959274
0,74,583.128048
0,75,608.371070
0,77,709.072559
0,81,544.014050
0,82,609.711775
0,83,593.875908
0,86,737.522341
0,87,736.504010
0,88,821.617992
0,89,833.633633
0,90,625.754826
0,91,607.525108
0,93,697.911286
0,94,702.861135
0,95,708.179665
0,96,772.232521
0,97,813.941570
0,98,872.460223
0,99,897.124784
3,4,108.089963
3,6,221.510999
3,7,279.150504
3,8,385.468427
3,9,440.840510
3,11,105.880940
3,12,74.065322
3,14,111.358239
3,16,252.749932
3,17,284.058130
3,20,210.422905
3,21,177.091713
3,24,166.476131
3,26,237.687218
3,28,417.020785
3,29,446.975315
3,30,225.819513
3,32,206.438422
3,36,312.379805
3,38,433.299788
3,39,508.127509
3,40,314.851247
3,42,262.104155
3,43,277.225027
3,44,293.986270
3,45,338.505691
3,48,454.187438
3,49,507.236956
3,50,360.293664
3,53,333.822586
3,56,408.800698
3,57,454.735774
3,58,487.932965
3,59,577.583069
3,60,413.090056
3,61,401.528040
3,65,439.032937
3,66,460.101741
3,68,571.439261
3,69,583.070967
3,71,457.682487
3,72,464.783138
3,73,478.044690
3,74,477.903294
3,75,490.719046
3,77,560.921560
3,81,505.191303
3,82,545.982483
3,83,509.466474
3,86,612.568997
3,87,602.397343
3,88,680.799540
3,89,683.311476
3,90,612.105494
3,91,568.033288
3,93,618.538197
3,94,613.505878
3,95,603.742591
3,96,653.596759
3,97,688.062656
3,98,736.975673
3,99,750.985513
4,6,116.128400
4,7,181.441526
4,8,284.564468
4,9,336.780923
4,11,212.030872
4,12,167.434613
4,14,78.769682
4,16,166.715928
4,17,196.671080
4,20,316.598960
4,21,277.197230
4,24,144.985963
4,26,177.609437
4,28,336.799960
4,29,359.368881
4,30,324.800545
4,32,272.700429
4,36,274.838878
4,38,365.281317
4,39,431.769207
4,40,405.910546
4,42,321.350159
4,43,303.200963
4,44,305.875966
4,45,318.056186
4,48,400.704411
4,49,442.110163
4,50,438.790715
4,53,361.638823
4,56,389.344702
4,57,414.870226
4,58,442.113455
4,59,518.414625
4,60,489.156721
4,61,463.378834
4,65,432.885638
4,66,446.523380
4,68,527.737643
4,69,533.865314
4,71,516.524237
4,72,513.661506
4,73,506.874619
4,74,490.747125
4,75,492.846386
4,77,531.001287
4,81,558.535258
4,82,583.573173
4,83,535.617086
4,86,603.272054
4,87,585.163692
4,88,654.868608
4,89,647.607422
4,90,673.795090
4,91,618.380105
4,93,643.446107
4,94,631.840083
4,95,611.460232
4,96,648.362141
4,97,675.694115
4,98,714.800013
4,99,718.207636
6,7,74.287893
6,8,169.802911
6,9,220.653390
6,11,320.778966
6,12,269.554897
6,14,141.413017
6,16,87.137238
6,17,106.506164
6,20,423.628102
6,21,377.972071
6,24,171.543038
6,26,140.019059
6,28,243.386191
6,29,256.291431
6,30,423.028275
6,32,345.183959
6,36,243.253356
6,38,285.374362
6,39,339.047130
6,40,493.623349
6,42,383.399310
6,43,336.294956
6,44,324.696340
6,45,300.404367
6,48,336.189400
6,49,361.782827
6,50,512.603068
6,53,390.367986
6,56,365.338453
6,57,365.468783
6,58,384.129841
6,59,442.039449
6,60,558.804031
6,61,519.453530
6,65,420.257712
6,66,424.807323
6,68,468.216271
6,69,468.005187
6,71,567.423114
6,72,554.383897
