node_id,neighbor_id,hop_distance,next_hop,euclidean_distance
0,1,1,1,89.519261
0,11,2,1,79.041482
0,2,2,1,66.175481
0,22,3,1,83.313383
0,12,3,1,87.950450
0,10,1,10,89.405714
0,3,3,1,66.048547
1,11,1,11,79.041482
1,2,1,2,66.175481
1,0,1,0,89.519261
1,22,2,11,83.313383
1,12,2,2,87.950450
1,23,3,11,71.495659
1,21,3,11,79.612418
1,32,3,11,76.972997
1,10,2,0,89.405714
1,3,2,2,66.048547
2,11,1,11,95.693825
2,1,1,1,66.175481
2,0,2,1,89.519261
2,22,2,11,83.313383
2,12,1,12,87.950450
2,23,3,11,71.495659
2,21,3,11,79.612418
2,32,3,11,76.972997
2,3,1,3,66.048547
2,10,3,1,89.405714
3,2,1,2,66.048547
3,11,2,2,95.693825
3,1,2,2,66.175481
3,0,3,2,89.519261
3,22,3,2,83.313383
3,12,2,2,87.950450
4,13,1,13,65.298726
4,23,2,13,75.426039
4,22,3,13,71.495659
4,32,3,13,94.116295
4,14,1,14,74.021592
4,5,1,5,76.938288
4,33,3,13,63.989981
4,15,2,14,55.998404
5,4,1,4,76.938288
5,14,1,14,72.655964
5,13,2,4,65.298726
5,23,3,4,75.426039
5,15,1,15,76.359526
10,0,1,0,89.405714
10,1,2,0,89.519261
10,11,3,0,79.041482
10,2,3,0,66.175481
11,1,1,1,79.041482
11,2,1,2,95.693825
11,0,2,1,89.519261
11,22,1,22,83.313383
11,12,1,12,46.013823
11,23,2,22,71.495659
11,21,2,22,79.612418
11,32,2,22,76.972997
11,13,3,22,75.426039
11,30,3,22,81.815784
11,31,3,22,46.125102
11,20,3,22,36.518103
11,3,2,2,66.048547
11,10,3,1,89.405714
11,33,3,22,79.576299
12,11,1,11,46.013823
12,2,1,2,87.950450
12,1,2,11,79.041482
12,22,1,22,65.284103
12,0,3,2,89.519261
12,23,2,22,71.495659
12,21,2,22,79.612418
12,32,2,22,76.972997
12,13,3,22,75.426039
12,30,3,22,81.815784
12,31,3,22,46.125102
12,20,3,22,36.518103
12,3,2,2,66.048547
12,33,3,22,79.576299
13,23,1,23,75.426039
13,4,1,4,65.298726
13,22,2,23,71.495659
13,32,2,23,94.116295
13,11,3,23,83.313383
13,21,3,23,79.612418
13,12,3,23,65.284103
13,31,3,23,54.526548
13,14,2,4,74.021592
13,33,2,23,63.989981
13,5,2,4,76.938288
14,4,1,4,74.021592
14,13,2,4,65.298726
14,23,3,4,75.426039
14,15,1,15,55.998404
14,5,1,5,72.655964
15,14,1,14,55.998404
15,5,1,5,76.359526
20,21,1,21,36.518103
20,30,1,30,58.746760
20,31,1,31,64.002329
20,22,2,21,79.612418
20,32,2,21,78.281605
20,11,3,21,83.313383
20,23,3,21,71.495659
20,12,3,21,65.284103
20,40,1,40,94.999641
20,41,2,30,89.241812
20,33,3,21,79.576299
21,22,1,22,79.612418
21,32,1,32,78.281605
21,11,2,22,83.313383
21,1,3,22,79.041482
21,2,3,22,95.693825
21,23,2,22,71.495659
21,12,2,22,65.284103
21,30,1,30,81.815784
21,31,1,31,46.125102
21,20,1,20,36.518103
21,13,3,32,75.426039
21,40,2,30,37.978877
21,41,2,30,89.241812
21,33,2,32,79.576299
22,11,1,11,83.313383
22,1,2,11,79.041482
22,2,2,11,95.693825
22,0,3,11,89.519261
22,23,1,23,71.495659
22,21,1,21,79.612418
22,32,1,32,76.972997
22,12,1,12,65.284103
22,13,2,23,75.426039
22,30,2,21,81.815784
22,31,2,21,46.125102
22,20,2,21,36.518103
22,3,3,11,66.048547
22,4,3,23,65.298726
22,40,3,21,37.978877
22,41,3,21,89.241812
22,33,2,32,79.576299
23,22,1,22,71.495659
23,32,1,32,94.116295
23,11,2,22,83.313383
23,1,3,22,79.041482
23,2,3,22,95.693825
23,21,2,22,79.612418
23,12,2,22,65.284103
23,13,1,13,75.426039
23,31,2,32,54.526548
23,30,3,32,81.815784
23,20,3,22,36.518103
23,4,2,13,65.298726
23,33,1,33,63.989981
23,40,3,32,86.831004
23,41,3,32,89.421284
23,24,1,24,95.132731
23,14,3,13,74.021592
23,5,3,13,76.938288
24,23,1,23,95.132731
24,22,2,23,71.495659
24,32,2,23,94.116295
24,11,3,23,83.313383
24,21,3,23,79.612418
24,12,3,23,65.284103
24,13,2,23,75.426039
24,31,3,23,54.526548
24,4,3,23,65.298726
24,33,1,33,72.676858
25,15,1,15,73.489417
30,21,1,21,81.815784
30,31,1,31,71.727673
30,22,2,21,79.612418
30,32,2,21,78.281605
30,11,3,21,83.313383
30,23,3,21,71.495659
30,12,3,21,65.284103
30,20,1,20,58.746760
30,40,1,40,37.978877
30,41,1,41,89.241812
30,33,3,21,79.576299
31,21,1,21,46.125102
31,32,1,32,54.526548
31,30,1,30,71.727673
31,22,2,21,79.612418
31,11,3,21,83.313383
31,23,2,32,94.116295
31,12,3,21,65.284103
31,20,1,20,64.002329
31,40,1,40,86.831004
31,13,3,32,75.426039
31,41,1,41,89.421284
31,33,2,32,79.576299
32,22,1,22,76.972997
32,21,1,21,78.281605
32,23,1,23,94.116295
32,11,2,22,83.313383
32,1,3,22,79.041482
32,2,3,22,95.693825
32,12,2,22,65.284103
32,31,1,31,54.526548
32,13,2,23,75.426039
32,30,2,21,81.815784
32,20,2,21,36.518103
32,40,2,31,86.831004
32,41,2,31,89.421284
32,4,3,23,65.298726
32,33,1,33,79.576299
33,23,1,23,63.989981
33,32,1,32,79.576299
33,22,2,23,71.495659
33,11,3,23,83.313383
33,21,2,32,78.281605
33,12,3,23,65.284103
33,13,2,23,75.426039
33,31,2,32,54.526548
33,30,3,32,81.815784
33,4,3,23,65.298726
33,20,3,32,36.518103
33,40,3,32,86.831004
33,41,3,32,89.421284
33,24,1,24,72.676858
34,24,1,24,83.023295
40,30,1,30,37.978877
40,31,1,31,86.831004
40,20,1,20,94.999641
40,41,1,41,61.325609
40,21,2,30,81.815784
40,22,3,30,79.612418
40,32,2,31,54.526548
40,23,3,31,94.116295
40,33,3,31,79.576299
41,30,1,30,89.241812
41,31,1,31,89.421284
41,40,1,40,61.325609
41,21,2,30,81.815784
41,22,3,30,79.612418
41,32,2,31,54.526548
41,20,2,30,58.746760
41,23,3,31,94.116295
41,33,3,31,79.576299
44,24,1,24,93.663889
