node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
0,1,89.519261,ROOT,0,2961.100089519261
0,10,89.405714,CLUSTER_HEAD,2,2964.081854277055
1,11,79.041482,ROUTER,1,2968.6076964432173
1,2,66.175481,ROUTER,1,2968.5276493015267
2,11,95.693825,ROUTER,1,2968.60771309556
2,12,87.950450,REGISTERED,3,2967.907861419777
2,3,66.048547,CLUSTER_HEAD,2,2970.5278473202343
4,13,65.298726,CLUSTER_HEAD,4,2970.598427472475
4,14,74.021592,CLUSTER_HEAD,6,2965.5467550292774
4,5,76.938288,REGISTERED,7,2961.378674561062
5,14,72.655964,CLUSTER_HEAD,6,2965.546753663649
5,15,76.359526,REGISTERED,7,2970.5068829815013
6,16,89.887306,ROUTER,28,2971.018436355634
6,7,85.172153,REGISTERED,28,2971.0293725150755
7,18,79.451467,ROUTER,28,2971.09516291361
7,17,52.379712,CLUSTER_HEAD,27,2971.0184296455477
7,16,90.158216,ROUTER,28,2971.0184366265435
7,8,72.896880,CLUSTER_HEAD,29,2971.0951544830086
8,18,49.663735,ROUTER,28,2971.095133125879
8,19,79.983419,ROUTER,28,2971.02937441288
8,9,59.306531,CLUSTER_HEAD,29,2971.0951263254683
9,19,65.416227,ROUTER,28,2971.0293598456888
11,22,83.313383,CLUSTER_HEAD,2,2969.9079475693584
11,12,46.013823,REGISTERED,3,2967.90781948315
12,22,65.284103,CLUSTER_HEAD,2,2969.9079295400775
13,23,75.426039,ROUTER,3,2967.6076810100494
14,15,55.998404,REGISTERED,7,2970.5068626203793
15,25,73.489417,REGISTERED,7,2970.92942684289
16,27,74.390523,ROUTER,26,2971.018417415204
16,17,57.482616,CLUSTER_HEAD,27,2971.018434748452
16,26,50.875481,REGISTERED,28,2970.3166036613698
17,28,86.398474,ROUTER,26,2970.674505504792
17,27,66.125533,ROUTER,26,2971.0184091502138
17,18,76.189060,ROUTER,28,2971.095159651203
17,26,81.672989,REGISTERED,28,2970.3166344588776
18,28,54.123477,ROUTER,26,2970.674473229795
18,29,87.846042,CLUSTER_HEAD,27,2971.095167340139
18,19,81.859433,ROUTER,28,2971.0293762888946
19,29,77.891388,CLUSTER_HEAD,27,2971.095157385485
20,21,36.518103,CLUSTER_HEAD,3,2970.8803059205857
20,30,58.746760,ROUTER,4,2970.880350377899
20,31,64.002329,REGISTERED,4,2970.8803608890375
20,40,94.999641,CLUSTER_HEAD,5,2970.8804228836616
21,22,79.612418,CLUSTER_HEAD,2,2969.9079438683925
21,32,78.281605,ROUTER,3,2967.607689342954
21,30,81.815784,ROUTER,4,2970.880373446923
21,31,46.125102,REGISTERED,4,2970.88034301181
22,23,71.495659,ROUTER,3,2967.6076770796685
22,32,76.972997,ROUTER,3,2967.6076880343467
23,32,94.116295,ROUTER,3,2967.6077051776438
23,33,63.989981,CLUSTER_HEAD,4,2964.598970747043
23,24,95.132731,ROUTER,5,2970.582774740346
24,33,72.676858,CLUSTER_HEAD,4,2964.5989794339207
24,34,83.023295,CLUSTER_HEAD,6,2970.929415555143
24,44,93.663889,ROUTER,7,2970.929476595943
25,34,74.599026,CLUSTER_HEAD,6,2970.929407130874
25,35,52.279656,REGISTERED,7,2970.9294162695346
26,27,47.431834,ROUTER,26,2971.0183904565147
27,37,81.879835,ROUTER,24,2970.658282864078
27,38,90.629719,CLUSTER_HEAD,25,2967.520643220213
27,28,82.835419,ROUTER,26,2970.674501941737
28,38,92.781321,CLUSTER_HEAD,25,2967.520645371815
28,29,68.327755,CLUSTER_HEAD,27,2971.0951478218526
30,31,71.727673,REGISTERED,4,2970.880368614381
30,40,37.978877,CLUSTER_HEAD,5,2970.8803658628967
30,41,89.241812,REGISTERED,6,2970.7817029397834
31,32,54.526548,ROUTER,3,2967.607665587898
31,40,86.831004,CLUSTER_HEAD,5,2970.880414715025
31,41,89.421284,REGISTERED,6,2970.781703119255
32,33,79.576299,CLUSTER_HEAD,4,2964.598986333361
34,45,74.551153,ROUTER,7,2970.9294495141285
34,44,51.972423,ROUTER,7,2970.929434904476
34,35,31.458031,REGISTERED,7,2970.929395447909
35,45,73.889158,ROUTER,7,2970.929448852133
35,44,81.858236,ROUTER,7,2970.9294647902893
36,46,29.157826,ROUTER,22,2970.6581953605187
36,37,63.939377,ROUTER,24,2970.65826492362
37,46,75.418732,ROUTER,22,2970.658241621424
37,38,51.223763,CLUSTER_HEAD,25,2967.5206038142574
37,47,87.641014,REGISTERED,26,2971.008340173223
38,47,92.129059,REGISTERED,26,2971.008344661268
39,49,38.011807,ROUTER,22,2968.804904850727
40,41,61.325609,REGISTERED,6,2970.7816750235797
42,52,84.439215,CLUSTER_HEAD,11,2970.461707393807
42,43,41.040079,CLUSTER_HEAD,8,2970.4732926902147
43,44,90.288718,ROUTER,7,2970.929473220772
44,45,83.477928,ROUTER,7,2970.929458440903
44,54,93.345406,CLUSTER_HEAD,8,2970.473348052228
45,54,60.298971,CLUSTER_HEAD,8,2970.473315005793
45,55,59.129650,REGISTERED,9,2971.075565285427
46,56,78.848921,CLUSTER_HEAD,21,2970.110120060343
46,47,91.652622,REGISTERED,26,2971.0083441848315
47,58,63.481169,REGISTERED,20,2969.123861526151
47,48,37.886764,ROUTER,20,2971.0082547807174
48,57,71.654562,CLUSTER_HEAD,19,2971.008307486292
48,58,27.842913,REGISTERED,20,2969.123825887895
48,59,85.509115,CLUSTER_HEAD,21,2971.008353918905
48,49,90.753503,ROUTER,22,2968.804957592423
49,59,76.683412,CLUSTER_HEAD,21,2971.008345093202
51,52,56.763828,CLUSTER_HEAD,11,2970.46167971842
51,62,57.397476,ROUTER,12,2966.10089107348
51,61,61.770697,ROUTER,14,2968.6732433807665
52,53,78.561908,ROUTER,10,2971.075770655822
52,62,47.921883,ROUTER,12,2966.1008815978867
53,64,72.518667,ROUTER,9,2971.075556068824
53,63,76.692006,REGISTERED,12,2970.4616977766955
54,55,32.884301,REGISTERED,9,2971.075539040078
54,64,76.283450,ROUTER,9,2971.0755598336063
55,64,88.038374,ROUTER,9,2971.0755715885302
55,65,90.618166,ROUTER,10,2970.8401934993776
56,66,73.388774,ROUTER,20,2970.222695605987
57,68,92.040941,ROUTER,18,2971.0083730193282
57,67,51.260946,REGISTERED,18,2971.008332922226
57,58,46.780690,REGISTERED,20,2969.1238448256713
57,66,91.245881,ROUTER,20,2970.222713463095
58,68,91.927347,ROUTER,18,2971.0083729057337
58,67,92.610240,REGISTERED,18,2971.00837427152
58,59,79.358750,CLUSTER_HEAD,21,2971.00834776854
59,68,66.653043,ROUTER,18,2971.00834763143
60,61,61.757400,ROUTER,14,2968.6732433674697
60,70,52.402134,REGISTERED,14,2969.673312865583
61,62,66.240913,ROUTER,12,2966.1008999169167
61,71,83.674153,CLUSTER_HEAD,13,2968.6732682135307
61,70,72.994764,REGISTERED,14,2969.6733334582136
62,71,89.386028,CLUSTER_HEAD,13,2968.6732739254053
62,72,88.946600,ROUTER,14,2970.723115428793
63,64,90.526303,ROUTER,9,2971.075574076459
63,74,86.384653,CLUSTER_HEAD,11,2971.075590505962
63,73,43.782530,REGISTERED,12,2970.4206284473157
64,65,68.012545,ROUTER,10,2970.840170893757
64,74,94.279444,CLUSTER_HEAD,11,2971.075598400753
65,74,88.583698,CLUSTER_HEAD,11,2971.075592705007
65,75,58.987014,CLUSTER_HEAD,12,2971.07553351164
66,67,94.798636,REGISTERED,18,2971.008376459916
67,78,61.054240,CLUSTER_HEAD,17,2970.3807888522942
67,68,85.655879,ROUTER,18,2971.008366634266
68,69,55.409640,CLUSTER_HEAD,19,2970.667974756681
68,78,85.012825,CLUSTER_HEAD,17,2970.3808128108794
69,79,91.193563,ROUTER,18,2970.842385256831
70,71,75.924072,CLUSTER_HEAD,13,2968.67326046345
71,72,41.220445,ROUTER,14,2970.723067702638
72,73,95.150997,REGISTERED,12,2970.4206798157834
72,82,83.688500,CLUSTER_HEAD,15,2970.897860510253
73,74,74.146271,CLUSTER_HEAD,11,2971.0755782675797
74,75,63.369279,CLUSTER_HEAD,12,2971.0755378939043
74,84,86.035201,ROUTER,12,2971.067981796523
75,84,84.046168,ROUTER,12,2971.0679798074902
75,85,88.581432,REGISTERED,13,2970.840221057061
76,86,75.793907,CLUSTER_HEAD,15,2970.940753349641
76,77,56.859425,ROUTER,16,2968.3808407230135
77,86,67.080355,CLUSTER_HEAD,15,2970.9407446360897
77,87,49.585834,REGISTERED,16,2970.8121506050147
77,78,78.095175,CLUSTER_HEAD,17,2970.3808058932295
79,88,95.308174,CLUSTER_HEAD,17,2970.8121655304626
79,89,75.501163,ROUTER,18,2970.8122014733904
80,90,93.965765,CLUSTER_HEAD,17,2970.897849466436
81,82,67.690915,CLUSTER_HEAD,15,2970.8978445126677
81,91,40.197869,REGISTERED,16,2970.897893857271
81,90,62.153287,CLUSTER_HEAD,17,2970.897817653958
82,83,81.686948,REGISTERED,16,2970.723106167588
82,92,69.410723,REGISTERED,16,2970.897843480166
82,91,76.837650,REGISTERED,16,2970.897930497052
83,94,87.268821,ROUTER,14,2970.825143296783
83,93,78.043524,CLUSTER_HEAD,15,2970.5493440084097
83,92,75.930607,REGISTERED,16,2970.8978500000503
84,95,85.237311,CLUSTER_HEAD,13,2970.8252401649756
84,85,38.094921,REGISTERED,13,2970.84017057055
84,94,93.783606,ROUTER,14,2970.825149811568
85,95,71.206194,CLUSTER_HEAD,13,2970.825226133859
86,96,92.990501,ROUTER,14,2970.8251524694338
86,97,60.370226,ROUTER,16,2970.8121485796532
86,87,58.218801,REGISTERED,16,2970.812159237981
87,97,57.083131,ROUTER,16,2970.8121452925575
87,88,67.887761,CLUSTER_HEAD,17,2970.8121381100495
87,98,70.417658,REGISTERED,18,2967.422295973582
88,97,85.350669,ROUTER,16,2970.8121735600957
88,89,68.027173,ROUTER,18,2970.8121939994
88,98,39.620766,REGISTERED,18,2967.4222651766904
89,98,95.370704,REGISTERED,18,2967.4223209266283
89,99,90.558524,CLUSTER_HEAD,19,2967.422311302268
90,91,55.516568,REGISTERED,16,2970.8979091759707
91,92,74.085341,REGISTERED,16,2970.8978481547842
92,93,51.524063,CLUSTER_HEAD,15,2970.549317488948
93,94,91.777284,ROUTER,14,2970.825147805246
94,95,71.574919,CLUSTER_HEAD,13,2970.8252265025835
95,96,75.025889,ROUTER,14,2970.8251345048216
97,98,57.607904,REGISTERED,18,2967.4222831638285
