node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.000000,89.519261,155.626263,220.877274,313.349705,389.961395,482.231623,565.117475,636.863191,685.919966,89.405714,124.118192,167.076132,267.512971,363.973915,419.913868,510.963286,563.965703,636.980950,713.399984,186.163731,193.381411,202.025580,265.924949,360.981186,452.162666,527.544060,573.796168,645.568177,712.843132,237.877044,239.309657,260.141090,313.017756,442.557111,462.639145,571.591952,610.954779,652.030740,757.964628,275.823357,317.684021,386.153945,394.242102,431.921182,511.232933,591.822086,680.230031,713.646894,761.025985,372.926942,428.925863,455.985646,492.743003,520.823413,549.445384,634.216131,730.747699,728.859401,797.968077,469.201189,469.292776,484.554667,555.517274,552.320561,613.795128,682.023978,766.318284,818.316792,873.725136,520.066741,552.196693,570.036724,594.930460,630.195626,661.414872,765.324723,816.329700,825.842997,923.185364,618.130606,653.564216,653.721384,699.662958,716.089331,741.553231,830.865334,862.437059,924.711099,976.306584,690.750105,693.559342,723.122755,764.276519,775.550055,800.811679,860.622759,891.220671,932.073518,1040.966369
1,89.519261,0.000000,66.175481,131.846997,229.053391,304.658092,395.005490,478.699522,549.870418,597.892170,139.057137,79.041482,103.896790,191.040008,286.103605,341.293033,428.986883,480.334294,552.062141,627.192814,197.987675,188.149966,160.080218,208.421454,299.809460,381.441066,449.533934,494.735878,563.502140,630.020841,256.515753,231.753898,233.137137,265.622591,382.830521,398.952232,503.800488,537.959665,576.321263,682.105525,292.895831,319.821944,361.738538,360.604192,381.073677,455.130642,526.197072,611.786701,646.650092,687.758432,395.534901,423.641771,440.044511,463.222724,473.468399,499.402035,575.693230,669.995765,663.853047,729.538287,483.967841,472.497843,475.412609,532.482229,515.212639,571.912916,629.401473,708.861665,754.774868,810.046303,531.818978,552.143903,563.833001,574.355264,599.946131,623.644923,718.644726,766.926981,769.367056,865.157359,635.073877,655.602973,646.495390,683.115189,685.764196,707.735179,787.657865,814.519661,874.236077,922.187846,699.047194,694.711287,715.454491,752.580830,753.282794,771.000919,825.857358,847.625061,884.801315,991.377140
2,155.626263,66.175481,0.000000,66.048547,168.240082,241.985545,330.273150,414.495937,485.142621,532.402735,193.147043,95.693825,87.950450,141.368976,231.373325,284.917703,368.744467,418.444017,488.946621,562.987212,226.658194,206.763004,153.233457,179.410024,261.637650,332.071483,392.727872,436.735027,502.691358,568.447292,284.614517,244.023390,230.176145,242.253346,343.583620,355.774625,455.560573,484.951360,520.789261,626.036887,317.895296,333.287295,353.324896,344.724994,349.809635,417.678882,479.612712,562.162234,598.019690,633.782240,420.273515,427.880953,435.787244,447.748299,443.155028,466.396611,534.643143,626.353730,616.762311,679.328279,501.188092,481.722229,475.458726,520.748245,492.609389,544.597330,592.718992,667.647482,708.399054,763.321678,546.006479,557.444810,564.389203,563.845288,581.539098,598.997803,686.011433,731.793795,728.585202,822.689551,651.466847,660.981039,645.124524,674.294603,666.312804,685.347309,757.283371,780.274126,837.669542,882.560896,708.511663,698.998944,712.987519,746.741283,739.419642,751.190797,801.817164,816.581286,850.690521,955.011068
3,220.877274,131.846997,66.048547,0.000000,107.763234,178.057416,264.475709,348.942017,419.293373,466.354299,248.706816,138.405342,107.994851,101.179530,177.211493,227.565755,306.539982,354.595769,424.048832,497.369502,261.366777,234.464254,164.375939,162.343007,226.856625,281.947864,333.807455,376.385546,439.585454,504.622656,316.004022,263.417364,236.129686,225.779295,304.652051,312.156009,405.020769,429.284089,462.459865,566.865443,345.281153,349.453695,347.225664,331.196738,319.572467,379.147686,430.573682,509.430654,546.083619,576.531836,444.669068,432.326283,431.569020,431.823617,411.794784,431.804146,490.827365,579.227825,566.254108,625.506766,516.892936,489.954100,474.719732,507.331022,468.481550,514.864881,552.872874,622.708547,658.174545,712.558726,558.077161,560.586632,562.710228,551.044494,560.490410,571.388868,649.563192,692.559073,683.759703,775.833533,664.476564,662.977160,640.548750,661.956209,643.331242,659.237724,722.652788,741.666454,796.514126,838.255831,714.132221,699.550099,706.670870,736.774098,721.465205,727.181965,773.254795,780.969824,811.894947,913.637091
4,313.349705,229.053391,168.240082,107.763234,0.000000,76.938288,172.194935,252.608896,325.040527,376.757118,318.746797,204.538139,159.758197,65.298726,74.021592,120.214971,200.537130,251.292653,323.648742,400.412199,296.425239,262.090481,182.494526,135.803949,151.884185,179.908471,226.054988,268.998300,334.722353,400.991046,340.567496,274.167515,229.554642,183.545728,216.490293,217.174607,301.001402,322.040256,354.697103,459.197110,360.994846,346.415520,308.057387,281.214648,243.727252,288.796564,327.629587,403.428409,440.461696,468.815289,449.620020,404.962609,390.346873,372.297999,330.236765,345.285422,392.362453,477.038796,461.504916,518.755808,504.378283,466.182164,437.139321,448.954108,395.482943,433.001598,458.049680,522.236135,553.381777,607.319246,538.234786,526.260862,520.730359,492.391895,489.641092,491.346511,557.672658,597.320701,583.120406,673.214712,643.501412,624.386621,592.260955,601.699774,568.392460,579.927791,632.272213,646.808386,698.842439,737.576542,680.288948,658.021668,654.563614,678.825269,652.361430,649.848887,689.708126,689.120396,716.507277,815.381539
5,389.961395,304.658092,241.985545,178.057416,76.938288,0.000000,96.637043,175.673189,248.165841,300.496133,394.677226,280.978134,235.739202,135.662564,72.655964,76.359526,129.843150,176.580975,247.407568,323.545151,365.347229,329.823015,251.252443,193.346496,170.782317,149.616907,164.273702,202.372637,261.613643,326.623397,404.998276,335.609152,286.175414,225.074530,208.690403,198.171239,257.057421,265.448031,291.526174,393.379587,421.520664,398.961798,341.024519,307.806336,249.056219,271.912565,285.631629,351.048355,388.845364,406.581306,503.280569,441.703097,418.062464,385.926812,322.960037,330.954147,357.937846,433.628652,412.177899,462.386339,547.629735,503.466406,465.925090,460.876355,395.118597,421.441017,428.253206,481.671096,502.997802,555.330140,576.424542,555.106814,544.128559,502.883701,488.668765,480.416723,530.477153,564.680788,541.541356,626.986137,679.289966,648.380246,609.353558,608.509826,561.528380,568.101937,606.163421,614.198818,661.392236,694.701907,706.915028,679.323951,667.552568,686.507489,650.102349,639.157510,671.516454,660.403172,682.470644,776.210007
6,482.231623,395.005490,330.273150,264.475709,172.194935,96.637043,0.000000,85.172153,154.886899,204.646151,490.856918,376.730108,331.847070,232.279991,156.853609,124.479762,89.887306,106.275594,163.283788,233.057989,461.040555,425.229108,347.234789,286.537106,245.952254,184.225111,140.510142,157.982375,190.917824,248.875216,498.801031,428.437824,377.250028,309.885252,257.213643,236.256993,252.625302,236.984806,246.555771,337.258191,513.293692,486.286324,415.921714,378.986764,305.859410,303.517684,281.407314,324.156568,361.342215,357.861067,590.356922,517.152336,486.603644,442.795820,361.584484,360.992766,359.812910,417.976934,387.626677,423.400041,626.756932,578.360029,534.313269,513.694197,437.508922,450.080373,433.130222,468.712139,473.470676,521.739959,651.150889,622.002356,606.197139,553.170204,527.125322,507.653474,535.373883,561.062202,525.244161,601.475519,750.942636,709.489279,664.238449,652.730563,591.346279,591.827138,610.654740,609.485047,648.735325,673.300414,769.888767,737.434375,717.380895,730.425541,683.488018,662.760218,685.154517,660.235768,674.417526,759.259440
7,565.117475,478.699522,414.495937,348.942017,252.608896,175.673189,85.172153,0.000000,72.896880,128.834879,569.232570,456.239876,410.688653,308.537767,222.291293,175.444000,90.158216,52.379712,79.451467,148.510319,531.504399,495.153706,419.437150,354.076026,296.630407,210.901524,129.215587,118.439588,116.597614,166.834257,564.604171,493.132257,439.931911,366.554941,284.735087,257.506497,235.045589,199.022917,191.808188,267.885559,575.345981,542.131603,458.841539,419.319089,336.510073,312.462656,260.837710,279.873903,314.483752,293.568838,644.661928,558.372069,521.156566,467.108954,372.748677,364.580387,338.637949,378.739325,342.085973,364.761739,670.566322,617.945888,567.675025,532.066889,448.547887,448.204967,410.957260,429.966929,420.993247,465.011848,689.564770,652.276944,631.732274,568.160496,531.680847,502.574526,509.871136,527.689882,482.187899,549.585255,784.803466,732.516897,681.615364,659.964894,586.446860,581.439375,583.088381,574.192462,606.263210,623.561808,794.153072,757.044223,729.010788,736.177526,680.098609,650.870430,664.116642,627.838867,635.284822,711.964754
8,636.863191,549.870418,485.142621,419.293373,325.040527,248.165841,154.886899,72.896880,0.000000,59.306531,642.097601,528.975672,483.486499,381.432990,294.506627,245.823569,154.042001,100.007816,49.663735,79.983419,603.712843,567.303420,492.026967,426.052059,364.664281,272.549464,180.496320,152.019750,103.712132,123.029755,635.719964,564.102401,510.517730,435.768622,343.989029,314.747561,270.113184,220.349370,195.816740,244.297346,645.362082,610.146405,522.136416,481.868749,395.923562,361.038508,291.795546,287.937999,317.818012,276.320548,711.731260,620.113861,579.908644,521.023392,420.836185,408.148357,365.053383,387.258248,345.548894,352.061683,732.926150,678.516163,625.409650,581.684373,494.908382,485.961368,434.015227,437.348603,413.966149,451.850171,749.150783,707.709448,684.613663,615.260934,572.407843,536.943846,527.673590,537.998192,483.897226,540.448898,841.501028,783.190784,729.140709,700.990475,619.634707,610.510573,597.776050,581.866786,606.351563,615.728480,845.221573,805.445988,772.422966,775.504226,713.314029,677.856696,683.412647,637.459716,638.331771,705.748712
9,685.919966,597.892170,532.402735,466.354299,376.757118,300.496133,204.646151,128.834879,59.306531,0.000000,695.172427,581.280247,536.211436,435.349307,351.039839,303.833725,213.204816,159.206218,97.933896,65.416227,660.170741,623.859735,547.737240,482.871212,423.570539,331.831021,239.085188,207.779005,146.336932,138.206142,693.386646,621.872359,568.531384,494.382305,403.031572,373.583174,323.616739,269.780972,238.298232,265.993022,703.700690,669.132231,581.421447,541.123669,454.931871,417.933350,343.470790,328.996904,355.386150,301.463036,770.892394,679.274018,638.685627,578.864182,477.356699,463.316181,413.821445,426.464870,382.547149,378.143933,792.123341,737.524704,683.976866,638.247932,550.650854,538.605192,480.436096,475.140191,442.779814,475.578095,807.990625,765.722192,741.985954,670.950447,625.878115,587.919573,570.519095,576.452455,517.551546,565.972060,899.734592,839.810129,784.782817,754.231891,669.725211,658.694039,638.353238,618.345405,637.716430,641.465702,901.908737,861.293519,826.478448,827.879031,763.098549,724.714816,726.132390,674.744766,671.422857,731.984163
