source_id,target_id,distance
0,1,101.982791
0,2,178.664233
0,3,250.898221
0,4,70.047105
0,5,111.559464
0,6,204.736258
0,7,255.085014
0,8,121.009126
0,9,210.876249
1,2,76.847747
1,3,149.423534
1,4,74.898459
1,5,59.257915
1,6,108.562898
1,7,162.036960
1,8,142.678398
1,9,167.401960
2,3,76.184148
2,4,143.312972
2,5,106.323016
2,6,59.491411
2,7,109.272246
2,8,199.870854
2,9,177.748929
3,4,205.145107
3,5,160.310409
3,6,59.537058
3,7,64.098022
3,8,248.016232
3,9,187.641627
4,5,47.821868
4,6,151.189093
4,7,196.254466
4,8,71.706170
4,9,141.100609
5,6,104.361653
5,7,148.433533
5,8,93.573475
5,9,112.155940
6,7,54.165010
6,8,188.994717
6,9,133.557864
7,8,221.256311
7,9,136.916581
8,9,117.959970
