packet_type,source,dest,source_gui,dest_gui,created_at,delivered_at,base_delay,total_delay,tx_time,rx_time,processing_time,num_hops
JOIN_REQUEST,None,"[0,254]",11,1,66.999380,66.999459,0.000079,0.001943,0.000832,0.000832,0.000200,1
JOIN_REPLY,"[0,254]","[255,255]",1,11,66.999459,66.999538,0.000079,0.002263,0.000992,0.000992,0.000200,1
JOIN_ACK,"[0,1]","[0,254]",11,1,66.999538,66.999617,0.000079,0.001843,0.000832,0.000832,0.000100,1
SENSOR_DATA,"[0,1]","[0,254]",,1,76.999538,76.999617,0.000079,0.004703,0.002112,0.002112,0.000400,2
JOIN_REQUEST,None,"[0,254]",0,1,84.741295,84.741385,0.000090,0.001954,0.000832,0.000832,0.000200,1
JOIN_REPLY,"[0,254]","[255,255]",1,0,84.741385,84.741474,0.000090,0.002274,0.000992,0.000992,0.000200,1
JOIN_ACK,"[0,2]","[0,254]",0,1,84.741474,84.741564,0.000090,0.001854,0.000832,0.000832,0.000100,1
SENSOR_DATA,"[0,1]","[0,254]",,1,86.999538,86.999617,0.000079,0.004703,0.002112,0.002112,0.000400,2
JOIN_REQUEST,None,"[0,254]",2,1,87.907693,87.907759,0.000066,0.001930,0.000832,0.000832,0.000200,1
JOIN_REPLY,"[0,254]","[255,255]",1,2,87.907759,87.907825,0.000066,0.002250,0.000992,0.000992,0.000200,1
JOIN_ACK,"[0,3]","[0,254]",2,1,87.907825,87.907891,0.000066,0.001830,0.000832,0.000832,0.000100,1
NETWORK_REQUEST,"[0,1]","[0,254]",11,1,88.607617,88.607696,0.000079,0.002143,0.000832,0.000832,0.000400,2
NETWORK_REPLY,"[0,254]","[0,1]",,11,88.607696,88.607775,0.000079,0.002663,0.000992,0.000992,0.000600,2
SENSOR_DATA,"[0,2]","[0,254]",,1,94.741474,94.741564,0.000090,0.004714,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[0,1]","[0,254]",,1,96.999538,96.999617,0.000079,0.004703,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[0,3]","[0,254]",,1,97.907825,97.907891,0.000066,0.004690,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[0,2]","[0,254]",,1,104.741474,104.741564,0.000090,0.004714,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[0,1]","[0,254]",,1,106.999538,106.999617,0.000079,0.004703,0.002112,0.002112,0.000400,2
JOIN_REQUEST,None,"[12,254]",12,11,107.907643,107.907689,0.000046,0.001910,0.000832,0.000832,0.000200,1
JOIN_REPLY,"[12,254]","[255,255]",11,12,107.907689,107.907735,0.000046,0.002230,0.000992,0.000992,0.000200,1
JOIN_ACK,"[12,1]","[12,254]",12,11,107.907735,107.907781,0.000046,0.001810,0.000832,0.000832,0.000100,1
SENSOR_DATA,"[0,3]","[0,254]",,1,107.907825,107.907891,0.000066,0.004690,0.002112,0.002112,0.000400,2
JOIN_REQUEST,None,"[12,254]",22,11,108.607534,108.607617,0.000083,0.001947,0.000832,0.000832,0.000200,1
JOIN_REPLY,"[12,254]","[255,255]",11,22,108.607617,108.607701,0.000083,0.002267,0.000992,0.000992,0.000200,1
JOIN_ACK,"[12,2]","[12,254]",22,11,108.607701,108.607784,0.000083,0.001847,0.000832,0.000832,0.000100,1
CH_TRANSFER,"[0,1]","[12,2]",11,22,109.907781,109.907864,0.000083,0.003427,0.001472,0.001472,0.000400,2
NETWORK_UPDATE,"[12,2]","[0,1]",22,11,109.907864,109.907948,0.000083,0.003627,0.001472,0.001472,0.000600,2
CH_TRANSFER_ACK,"[12,2]","[0,1]",22,11,109.907864,109.907948,0.000083,0.003427,0.001472,0.001472,0.000400,2
NETWORK_UPDATE,"[0,1]","[0,254]",11,1,109.907948,109.908027,0.000079,0.003623,0.001472,0.001472,0.000600,2
SENSOR_DATA,"[0,2]","[0,254]",,1,114.741474,114.741564,0.000090,0.004714,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[0,1]","[0,254]",,1,116.999538,116.999617,0.000079,0.004703,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[0,3]","[0,254]",,1,117.907825,117.907891,0.000066,0.004690,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,2]","[0,254]",,1,118.607701,118.607863,0.000162,0.004986,0.002112,0.002112,0.000600,3
JOIN_REQUEST,None,"[12,254]",23,22,122.787165,122.787236,0.000071,0.001935,0.000832,0.000832,0.000200,1
JOIN_REPLY,"[12,254]","[255,255]",22,23,122.787236,122.787308,0.000071,0.002255,0.000992,0.000992,0.000200,1
JOIN_ACK,"[12,1]","[12,254]",23,22,122.787308,122.787379,0.000071,0.001835,0.000832,0.000832,0.000100,1
JOIN_REQUEST,None,"[12,254]",21,22,123.582537,123.582616,0.000080,0.001944,0.000832,0.000832,0.000200,1
JOIN_REPLY,"[12,254]","[255,255]",22,21,123.582616,123.582696,0.000080,0.002264,0.000992,0.000992,0.000200,1
JOIN_ACK,"[12,2]","[12,254]",21,22,123.582696,123.582775,0.000080,0.001844,0.000832,0.000832,0.000100,1
SENSOR_DATA,"[0,2]","[0,254]",,1,124.741474,124.741564,0.000090,0.004714,0.002112,0.002112,0.000400,2
JOIN_REQUEST,None,"[12,254]",32,22,126.964917,126.964994,0.000077,0.001941,0.000832,0.000832,0.000200,1
JOIN_REPLY,"[12,254]","[255,255]",22,32,126.964994,126.965071,0.000077,0.002261,0.000992,0.000992,0.000200,1
JOIN_ACK,"[12,3]","[12,254]",32,22,126.965071,126.965148,0.000077,0.001841,0.000832,0.000832,0.000100,1
SENSOR_DATA,"[0,1]","[0,254]",,1,126.999538,126.999617,0.000079,0.004703,0.002112,0.002112,0.000400,2
JOIN_REQUEST,None,"[12,254]",12,22,127.907643,127.907708,0.000065,0.001929,0.000832,0.000832,0.000200,1
JOIN_REPLY,"[12,254]","[255,255]",22,12,127.907708,127.907773,0.000065,0.002249,0.000992,0.000992,0.000200,1
JOIN_ACK,"[12,4]","[12,254]",12,22,127.907773,127.907839,0.000065,0.001829,0.000832,0.000832,0.000100,1
SENSOR_DATA,"[0,3]","[0,254]",,1,127.907825,127.907891,0.000066,0.004690,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,2]","[0,254]",,1,128.607701,128.607863,0.000162,0.004986,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[0,2]","[0,254]",,1,134.741474,134.741564,0.000090,0.004714,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[0,1]","[0,254]",,1,136.999538,136.999617,0.000079,0.004703,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[0,3]","[0,254]",,1,137.907825,137.907891,0.000066,0.004690,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,4]","[0,254]",,1,137.907773,137.907899,0.000125,0.004949,0.002112,0.002112,0.000600,3
SENSOR_DATA,"[12,2]","[0,254]",,1,138.607701,138.607863,0.000162,0.004986,0.002112,0.002112,0.000600,3
JOIN_REQUEST,None,"[24,254]",13,23,140.598211,140.598287,0.000075,0.001939,0.000832,0.000832,0.000200,1
JOIN_REPLY,"[24,254]","[255,255]",23,13,140.598287,140.598362,0.000075,0.002259,0.000992,0.000992,0.000200,1
JOIN_ACK,"[24,1]","[24,254]",13,23,140.598362,140.598438,0.000075,0.001839,0.000832,0.000832,0.000100,1
JOIN_REQUEST,None,"[22,254]",30,21,140.781524,140.781606,0.000082,0.001946,0.000832,0.000832,0.000200,1
JOIN_REPLY,"[22,254]","[255,255]",21,30,140.781606,140.781688,0.000082,0.002266,0.000992,0.000992,0.000200,1
JOIN_ACK,"[22,1]","[22,254]",30,21,140.781688,140.781770,0.000082,0.001846,0.000832,0.000832,0.000100,1
JOIN_REQUEST,None,"[24,254]",33,23,142.098102,142.098166,0.000064,0.001928,0.000832,0.000832,0.000200,1
JOIN_REPLY,"[24,254]","[255,255]",23,33,142.098166,142.098230,0.000064,0.002248,0.000992,0.000992,0.000200,1
JOIN_ACK,"[24,2]","[24,254]",33,23,142.098230,142.098294,0.000064,0.001828,0.000832,0.000832,0.000100,1
CH_TRANSFER,"[12,1]","[24,1]",23,13,142.598438,142.598513,0.000075,0.003419,0.001472,0.001472,0.000400,2
NETWORK_UPDATE,"[24,1]","[12,1]",13,23,142.598513,142.598588,0.000075,0.003619,0.001472,0.001472,0.000600,2
CH_TRANSFER_ACK,"[24,1]","[12,1]",13,23,142.598513,142.598588,0.000075,0.003419,0.001472,0.001472,0.000400,2
NETWORK_UPDATE,"[12,1]","[12,2]",23,22,142.598588,142.598660,0.000071,0.003615,0.001472,0.001472,0.000600,2
NETWORK_UPDATE,"[12,2]","[0,1]",22,11,142.598660,142.598743,0.000083,0.003627,0.001472,0.001472,0.000600,2
CH_TRANSFER,"[12,2]","[22,1]",21,30,142.781770,142.781852,0.000082,0.003426,0.001472,0.001472,0.000400,2
SENSOR_DATA,"[12,1]","[0,254]",,1,142.787308,142.787542,0.000234,0.005258,0.002112,0.002112,0.000800,4
JOIN_REQUEST,None,"[22,254]",31,21,143.648669,143.648715,0.000046,0.001910,0.000832,0.000832,0.000200,1
JOIN_REPLY,"[22,254]","[255,255]",21,31,143.648715,143.648761,0.000046,0.002230,0.000992,0.000992,0.000200,1
JOIN_ACK,"[22,2]","[22,254]",31,21,143.648761,143.648807,0.000046,0.001810,0.000832,0.000832,0.000100,1
SENSOR_DATA,"[0,2]","[0,254]",,1,144.741474,144.741564,0.000090,0.004714,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,3]","[0,254]",,1,146.965071,146.965310,0.000239,0.005263,0.002112,0.002112,0.000800,4
SENSOR_DATA,"[0,1]","[0,254]",,1,146.999538,146.999617,0.000079,0.004703,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[0,3]","[0,254]",,1,147.907825,147.907891,0.000066,0.004690,0.002112,0.002112,0.000400,2
SENSOR_DATA,"[12,4]","[0,254]",,1,147.907773,147.907899,0.000125,0.004949,0.002112,0.002112,0.000600,3
NETWORK_REQUEST,"[0,3]","[0,254]",2,1,148.527583,148.527649,0.000066,0.002130,0.000832,0.000832,0.000400,2
NETWORK_REPLY,"[0,254]","[0,3]",,2,148.527649,148.527715,0.000066,0.002650,0.000992,0.000992,0.000600,2
SENSOR_DATA,"[12,2]","[0,254]",,1,148.607701,148.607863,0.000162,0.004986,0.002112,0.002112,0.000600,3
JOIN_REQUEST,None,"[24,254]",4,13,149.896899,149.896964,0.000065,0.001929,0.000832,0.000832,0.000200,1
JOIN_REPLY,"[24,254]","[255,255]",13,4,149.896964,149.897029,0.000065,0.002249,0.000992,0.000992,0.000200,1
