packet_id,packet_type,source_gui,dest_gui,path,hop_count,started_at,delivered_at,delay
1,SENSOR_DATA,11,1,11->1,1,76.999538,76.999617,0.000079
2,SENSOR_DATA,11,1,11->1,1,86.999538,86.999617,0.000079
3,SENSOR_DATA,0,1,0->1,1,94.741474,94.741564,0.000090
4,SENSOR_DATA,11,1,11->1,1,96.999538,96.999617,0.000079
5,SENSOR_DATA,2,1,2->1,1,97.907825,97.907891,0.000066
6,SENSOR_DATA,0,1,0->1,1,104.741474,104.741564,0.000090
7,SENSOR_DATA,11,1,11->1,1,106.999538,106.999617,0.000079
8,SENSOR_DATA,2,1,2->1,1,107.907825,107.907891,0.000066
9,SENSOR_DATA,0,1,0->1,1,114.741474,114.741564,0.000090
10,SENSOR_DATA,11,1,11->1,1,116.999538,116.999617,0.000079
11,SENSOR_DATA,2,1,2->1,1,117.907825,117.907891,0.000066
12,SENSOR_DATA,22,1,22->11->1,2,118.607701,118.607863,0.000162
13,SENSOR_DATA,0,1,0->1,1,124.741474,124.741564,0.000090
14,SENSOR_DATA,11,1,11->1,1,126.999538,126.999617,0.000079
15,SENSOR_DATA,2,1,2->1,1,127.907825,127.907891,0.000066
16,SENSOR_DATA,22,1,22->11->1,2,128.607701,128.607863,0.000162
19,SENSOR_DATA,0,1,0->1,1,134.741474,134.741564,0.000090
21,SENSOR_DATA,11,1,11->1,1,136.999538,136.999617,0.000079
23,SENSOR_DATA,2,1,2->1,1,137.907825,137.907891,0.000066
22,SENSOR_DATA,12,1,12->11->1,2,137.907773,137.907899,0.000125
24,SENSOR_DATA,22,1,22->11->1,2,138.607701,138.607863,0.000162
25,SENSOR_DATA,23,1,23->22->11->1,3,142.787308,142.787542,0.000234
27,SENSOR_DATA,0,1,0->1,1,144.741474,144.741564,0.000090
28,SENSOR_DATA,32,1,32->22->11->1,3,146.965071,146.965310,0.000239
29,SENSOR_DATA,11,1,11->1,1,146.999538,146.999617,0.000079
31,SENSOR_DATA,2,1,2->1,1,147.907825,147.907891,0.000066
30,SENSOR_DATA,12,1,12->11->1,2,147.907773,147.907899,0.000125
32,SENSOR_DATA,22,1,22->11->1,2,148.607701,148.607863,0.000162
33,SENSOR_DATA,13,1,13->23->22->11->1,4,150.598362,150.598671,0.000309
35,SENSOR_DATA,23,1,23->22->11->1,3,152.787308,152.787542,0.000234
38,SENSOR_DATA,0,1,0->1,1,154.741474,154.741564,0.000090
39,SENSOR_DATA,32,1,32->22->11->1,3,156.965071,156.965310,0.000239
40,SENSOR_DATA,11,1,11->1,1,156.999538,156.999617,0.000079
42,SENSOR_DATA,2,1,2->1,1,157.907825,157.907891,0.000066
41,SENSOR_DATA,12,1,12->11->1,2,157.907773,157.907899,0.000125
43,SENSOR_DATA,22,1,22->11->1,2,158.607701,158.607863,0.000162
45,SENSOR_DATA,13,1,13->23->22->11->1,4,160.598362,160.598671,0.000309
48,SENSOR_DATA,23,1,23->22->11->1,3,162.787308,162.787542,0.000234
52,SENSOR_DATA,0,1,0->1,1,164.741474,164.741564,0.000090
53,SENSOR_DATA,32,1,32->22->11->1,3,166.965071,166.965310,0.000239
54,SENSOR_DATA,11,1,11->1,1,166.999538,166.999617,0.000079
