node_id,start_time,registered_time,join_delay
11,45.999222,66.999538,21.000316
0,63.741116,84.741474,21.000358
2,67.644395,87.907825,20.263430
12,57.907551,107.907735,50.000184
22,37.607534,108.607701,71.000167
23,51.787165,122.787308,71.000143
21,72.582537,123.582696,51.000159
32,15.964917,126.965071,111.000154
12,57.907551,127.907773,70.000223
13,69.598211,140.598362,71.000151
30,49.781524,140.781688,91.000164
33,31.098102,142.098230,111.000128
31,92.648669,143.648761,51.000092
4,18.896899,149.897029,131.000131
40,81.595767,152.595843,71.000076
20,82.880233,153.880306,71.000073
41,11.393622,162.393744,151.000123
3,82.527385,168.527649,86.000264
10,91.081228,172.081586,81.000358
14,62.546385,173.546533,111.000148
15,88.755021,179.755133,91.000112
33,31.098102,182.598748,151.500646
5,60.378452,191.378598,131.000145
24,23.711987,194.712133,171.000145
34,1.582597,232.582763,231.000166
45,66.412645,237.412794,171.000149
25,46.506733,237.506882,191.000149
44,48.473161,239.473265,191.000104
35,89.929301,240.929364,151.000063
54,33.470474,264.470594,231.000121
55,78.302849,269.302914,191.000066
64,59.561797,270.561950,211.000153
65,48.075416,279.075552,231.000136
53,49.461544,280.461689,231.000145
52,75.763045,286.763202,211.000157
42,25.541048,296.541217,271.000169
51,66.653284,297.653398,231.000114
74,47.420511,298.420688,251.000177
75,89.840044,300.840171,211.000127
62,94.241460,305.241556,211.000096
73,37.299337,308.299485,271.000148
84,60.067724,311.067896,251.000172
63,62.406642,313.406815,251.000173
43,55.968399,326.968579,271.000181
95,89.824984,340.825155,251.000170
85,92.577585,343.577762,251.000177
71,52.829674,343.829853,291.000179
96,34.103060,345.103210,311.000150
61,36.100767,347.100935,311.000167
70,38.673109,349.673260,311.000152
15,88.755021,351.582857,262.827836
72,21.744857,352.744939,331.000082
94,49.549174,360.549317,311.000143
85,92.577585,363.577762,271.000177
86,17.940306,368.940492,351.000186
77,47.380650,378.380784,331.000134
76,33.503025,384.503177,351.000152
97,36.716998,387.717118,351.000121
87,97.860442,388.860559,291.000116
93,64.192724,395.192907,331.000184
60,25.732730,396.732854,371.000124
83,67.478362,398.478518,331.000156
88,90.956908,401.957078,311.000171
92,74.695314,405.695417,331.000103
89,37.422130,408.422266,371.000136
79,81.667828,412.668019,331.000191
98,43.812031,414.812110,371.000079
82,9.722943,420.723110,411.000167
81,0.198962,431.199097,431.000135
91,9.897700,440.897854,431.000154
69,80.842203,451.842385,371.000182
78,63.023462,454.023618,391.000156
68,66.408879,457.409049,391.000170
57,95.134130,466.134314,371.000184
67,79.123705,470.123828,391.000122
58,3.008189,474.008283,471.000094
66,69.222440,480.222622,411.000182
99,92.200719,483.200900,391.000181
48,56.164582,487.164726,431.000143
90,64.991017,495.991142,431.000124
56,63.449305,514.449452,451.000147
80,24.552082,515.552270,491.000188
59,14.578946,525.579117,511.000171
46,83.109962,534.110120,451.000158
49,27.648987,538.649141,511.000153
36,2.658137,553.658195,551.000058
37,53.982489,564.982617,511.000128
39,37.804829,568.804905,531.000076
38,60.500009,571.500111,511.000102
28,63.941870,574.942056,511.000186
47,24.903297,575.903481,551.000184
29,34.679262,585.679399,551.000137
27,77.520462,588.520643,511.000181
18,0.674365,591.674541,591.000176
19,41.095002,592.095157,551.000156
17,9.316471,600.316603,591.000132
16,12.510915,603.511030,591.000115
7,82.490371,613.490476,531.000105
26,47.018296,618.018459,571.000163
6,91.539216,642.539396,551.000180
8,43.029214,654.029314,611.000099
9,93.001721,664.001852,571.000131
