node_id,old_role,new_role,time,reason
1,UNDISCOVERED,ROOT,11.100000,
0,UNDISCOVERED,UNREGISTERED,11.188030,
99,UNDISCOVERED,UNREGISTERED,30.031902,
67,UNDISCOVERED,UNREGISTERED,30.382148,
0,UNREGISTERED,REGISTERED,31.188125,
2,UNDISCOVERED,UNREGISTERED,32.103962,
63,UNDISCOVERED,UNREGISTERED,34.608472,
7,UNDISCOVERED,UNREGISTERED,36.186299,
61,UNDISCOVERED,UNREGISTERED,38.152728,
82,UNDISCOVERED,UNREGISTERED,39.452701,
75,UNDISCOVERED,UNREGISTERED,40.371649,
15,UNDISCOVERED,UNREGISTERED,40.378430,
9,UNDISCOVERED,UNREGISTERED,42.698932,
74,UNDISCOVERED,UNREGISTERED,45.716098,
0,REGISTERED,CLUSTER_HEAD,46.188221,
47,UNDISCOVERED,UNREGISTERED,47.266288,
35,UNDISCOVERED,UNREGISTERED,47.439223,
81,UNDISCOVERED,UNREGISTERED,48.520668,
17,UNDISCOVERED,UNREGISTERED,49.441784,
46,UNDISCOVERED,UNREGISTERED,49.526247,
31,UNDISCOVERED,UNREGISTERED,49.889185,
91,UNDISCOVERED,UNREGISTERED,51.106798,
32,UNDISCOVERED,UNREGISTERED,51.223502,
49,UNDISCOVERED,UNREGISTERED,51.627779,
2,UNREGISTERED,REGISTERED,52.104102,
92,UNDISCOVERED,UNREGISTERED,52.122794,
14,UNDISCOVERED,UNREGISTERED,52.689904,
90,UNDISCOVERED,UNREGISTERED,52.934535,
18,UNDISCOVERED,UNREGISTERED,53.900236,
72,UNDISCOVERED,UNREGISTERED,54.817116,
23,UNDISCOVERED,UNREGISTERED,54.912640,
60,UNDISCOVERED,UNREGISTERED,55.132250,
59,UNDISCOVERED,UNREGISTERED,55.882365,
41,UNDISCOVERED,UNREGISTERED,55.922997,
44,UNDISCOVERED,UNREGISTERED,56.317417,
45,UNDISCOVERED,UNREGISTERED,57.292964,
28,UNDISCOVERED,UNREGISTERED,57.466821,
97,UNDISCOVERED,UNREGISTERED,57.554743,
88,UNDISCOVERED,UNREGISTERED,58.349206,
2,REGISTERED,CLUSTER_HEAD,60.315926,proactive CH creation from PROBE
12,UNDISCOVERED,UNREGISTERED,60.316024,
8,UNDISCOVERED,UNREGISTERED,60.375461,
25,UNDISCOVERED,UNREGISTERED,60.378800,
93,UNDISCOVERED,UNREGISTERED,61.147635,
87,UNDISCOVERED,UNREGISTERED,63.046072,
19,UNDISCOVERED,UNREGISTERED,63.055001,
58,UNDISCOVERED,UNREGISTERED,63.199277,
3,UNDISCOVERED,UNREGISTERED,63.493896,
89,UNDISCOVERED,UNREGISTERED,64.261402,
16,UNDISCOVERED,UNREGISTERED,65.343338,
76,UNDISCOVERED,UNREGISTERED,65.517690,
48,UNDISCOVERED,UNREGISTERED,66.378360,
80,UNDISCOVERED,UNREGISTERED,67.206445,
56,UNDISCOVERED,UNREGISTERED,67.515296,
22,UNDISCOVERED,UNREGISTERED,68.591346,
51,UNDISCOVERED,UNREGISTERED,69.041683,
20,UNDISCOVERED,UNREGISTERED,69.286973,
50,UNDISCOVERED,UNREGISTERED,70.142852,
29,UNDISCOVERED,UNREGISTERED,71.278403,
27,UNDISCOVERED,UNREGISTERED,72.067484,
